date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2019-04-07 00:00:00+00:00,165.14,165.33,0.11,0,1.077434
2019-04-08 00:00:00+00:00,165.33,174.09,5.30,0,1.098089
2019-04-09 00:00:00+00:00,174.09,180.01,3.40,0,1.091126
2019-04-10 00:00:00+00:00,180.01,175.29,-2.62,0,1.064365
2019-04-11 00:00:00+00:00,175.29,177.33,1.16,0,1.082033
2019-04-12 00:00:00+00:00,177.33,165.04,-6.93,0,1.040368
2019-04-13 00:00:00+00:00,165.04,164.57,-0.28,0,1.075643
2019-04-14 00:00:00+00:00,164.57,163.97,-0.36,0,1.075275
2019-04-15 00:00:00+00:00,163.97,167.62,2.22,0,1.086473
2019-04-16 00:00:00+00:00,167.62,160.53,-4.23,0,1.056032
2019-04-17 00:00:00+00:00,160.53,166.48,3.71,0,1.092236
2019-04-18 00:00:00+00:00,166.48,166.33,-0.09,0,1.076496
2019-04-19 00:00:00+00:00,166.33,173.41,4.26,0,1.094331
2019-04-20 00:00:00+00:00,173.41,173.23,-0.11,0,1.076440
2019-04-21 00:00:00+00:00,173.23,173.17,-0.04,0,1.076762
2019-04-22 00:00:00+00:00,173.17,169.99,-1.84,0,1.068329
2019-04-23 00:00:00+00:00,169.99,171.04,0.62,0,1.079690
2019-04-24 00:00:00+00:00,171.04,170.91,-0.08,0,1.076580
2019-04-25 00:00:00+00:00,170.91,165.67,-3.07,0,1.062108
2019-04-26 00:00:00+00:00,165.67,153.93,-7.09,0,1.040073
2019-04-27 00:00:00+00:00,153.93,157.38,2.24,0,1.086533
2019-04-28 00:00:00+00:00,157.38,158.29,0.58,0,1.079506
2019-04-29 00:00:00+00:00,158.29,156.60,-1.07,0,1.072007
2019-04-30 00:00:00+00:00,156.60,154.08,-1.61,0,1.069421
2019-05-01 00:00:00+00:00,154.08,160.74,4.33,0,1.094573
2019-05-02 00:00:00+00:00,160.74,159.49,-0.78,0,1.073335
2019-05-03 00:00:00+00:00,159.49,160.96,0.92,0,1.080979
2019-05-04 00:00:00+00:00,160.96,166.63,3.53,0,1.091622
2019-05-05 00:00:00+00:00,166.63,162.84,-2.28,0,1.066127
2019-05-06 00:00:00+00:00,162.84,162.37,-0.29,0,1.075624
2019-05-07 00:00:00+00:00,162.37,172.83,6.44,0,1.101900
2019-05-08 00:00:00+00:00,172.83,170.10,-1.58,0,1.069545
2019-05-09 00:00:00+00:00,170.10,170.11,0.01,0,1.076962
2019-05-10 00:00:00+00:00,170.11,170.58,0.27,0,1.078148
2019-05-11 00:00:00+00:00,170.58,172.68,1.23,0,1.082350
2019-05-12 00:00:00+00:00,172.68,196.69,13.90,0,1.121319
2019-05-13 00:00:00+00:00,196.69,187.27,-4.79,0,1.052932
2019-05-14 00:00:00+00:00,187.27,196.08,4.70,0,1.095969
2019-05-15 00:00:00+00:00,196.08,218.28,11.33,0,1.115833
2019-05-16 00:00:00+00:00,218.28,248.75,13.95,0,1.121995
2019-05-17 00:00:00+00:00,248.75,264.90,6.49,0,1.102032
2019-05-18 00:00:00+00:00,264.90,243.57,-8.05,0,1.033501
2019-05-19 00:00:00+00:00,243.57,235.33,-3.38,0,1.060390
2019-05-20 00:00:00+00:00,235.33,260.60,10.74,0,1.114160
2019-05-21 00:00:00+00:00,260.60,251.96,-3.31,0,1.060761
2019-05-22 00:00:00+00:00,251.96,256.08,1.64,0,1.084034
2019-05-23 00:00:00+00:00,256.08,244.55,-4.50,0,1.054534
2019-05-24 00:00:00+00:00,244.55,244.65,0.04,0,1.077102
2019-05-25 00:00:00+00:00,244.65,248.55,1.59,0,1.083869
2019-05-26 00:00:00+00:00,248.55,250.82,0.92,0,1.080954
2019-05-27 00:00:00+00:00,250.82,266.12,6.10,0,1.100894
2019-05-28 00:00:00+00:00,266.12,273.41,2.74,0,1.088510
2019-05-29 00:00:00+00:00,273.41,271.23,-0.80,0,1.073272
2019-05-30 00:00:00+00:00,271.23,268.79,-0.90,0,1.072768
2019-05-31 00:00:00+00:00,268.79,255.38,-4.99,0,1.051735
2019-06-01 00:00:00+00:00,255.38,268.13,4.99,0,1.096991
2019-06-02 00:00:00+00:00,268.13,264.73,-1.27,0,1.071033
2019-06-03 00:00:00+00:00,264.73,269.94,1.97,0,1.085448
2019-06-04 00:00:00+00:00,269.94,251.75,-6.74,0,1.041604
2019-06-05 00:00:00+00:00,251.75,240.24,-4.57,0,1.054156
2019-06-06 00:00:00+00:00,240.24,246.83,2.74,0,1.088588
2019-06-07 00:00:00+00:00,246.83,249.97,1.27,0,1.082529
2019-06-08 00:00:00+00:00,249.97,250.64,0.27,0,1.078130
2019-06-09 00:00:00+00:00,250.64,244.63,-2.40,0,1.065573
2019-06-10 00:00:00+00:00,244.63,232.04,-5.15,0,1.050933
2019-06-11 00:00:00+00:00,232.04,247.25,6.56,0,1.102261
2019-06-12 00:00:00+00:00,247.25,245.09,-0.87,0,1.072886
2019-06-13 00:00:00+00:00,245.09,260.57,6.31,0,1.101509
2019-06-14 00:00:00+00:00,260.57,255.12,-2.09,0,1.067012
2019-06-15 00:00:00+00:00,255.12,263.93,3.45,0,1.091287
2019-06-16 00:00:00+00:00,263.93,268.11,1.59,0,1.083842
2019-06-17 00:00:00+00:00,268.11,269.07,0.36,0,1.078522
